id,name,review_count,rate,address,zip_code,coordinates
NcIUA8l_kmbPEwqI9lzELg,Anejo,610,3.5,668 10th Ave,10036,"(40.762577, -73.992919)"
TgoYhgbPCYhLBNtpue3QHg,Maya,849,3.5,1191 1st Ave,10065,"(40.7632055528185, -73.9596225112209)"
FkA9aoMhWO4XKFMTuTnl4Q,Atla,219,3.5,372 Lafayette St,10012,"(40.7271874, -73.9938924)"
AUm7If5Cbvy20AnmyxE-xA,Dos Toros Taqueria,64,4.0,52 W 52nd St,10019,"(40.7607084122727, -73.9784675091505)"
7l0uy47dEHXg2S1lA1s-EQ,Vote For Pedro Tequila & Tacos,64,4.0,231 E 53rd St,10022,"(40.75725, -73.96808)"
MfHEjRvZVplBVQyLC4wQOg,La Central,25,4.5,518 W 27th St,10001,"(40.7504096665126, -74.0034449800957)"
0W0m68TNPbodGCA3PhIB4w,The Black Ant,486,4.0,60 2nd Ave,10003,"(40.72578, -73.98952)"
ueL0t_7Yu_ev2RrWK9dgDA,Tacombi - Empire State Building,101,4.0,23 W 33rd St,10118,"(40.748375, -73.9864908)"
V5hpSbA41oFAIzvZlv_1vQ,Habanero Blues,200,3.5,29 W 36th St,10018,"(40.75049, -73.98517)"
nrwOQSXoRXfAYhkdjiUk8g,Toro Loco,122,4.0,15 Stone St,10004,"(40.70421, -74.01208)"
boRM4i0UQswxQIp6CA9y_A,La Esquina,1939,3.5,114 Kenmare St,10012,"(40.721372, -73.997529)"
PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,146,4.5,65 2nd Ave,10003,"(40.7260849061034, -73.9897361397743)"
54hPnm8Z4rJST1CZWaOznw,Pampano,545,4.0,209 E 49th St,10017,"(40.75503, -73.97054)"
zscLFr_wQUmSRGkup2YjpA,Mexicue,66,4.5,1429 3rd Ave,10028,"(40.77536, -73.95628)"
hcI6TVxFyVNEPXg3rF1bQw,Oaxaca Taqueria,98,4.0,405 W 44th St,10036,"(40.7601356506348, -73.992057800293)"
8WSRmH4rsSRJN1jN0qmT_A,Café Frida,628,3.5,368 Columbus Ave,10024,"(40.7808959, -73.9764829)"
2iwT3iutZvmqzmu7oOkWFw,Dos Caminos,480,3.5,1567 Broadway,10036,"(40.7593727, -73.9853281)"
VThwGCuC6JVaxAgnmuJDRg,Cilantro,396,3.5,485 Columbus Ave,10024,"(40.784629, -73.973121)"
sLWWrz0iteDNQQJJ21FBUw,Horchata,384,4.0,470 Sixth Ave,10011,"(40.7355572, -73.9977961)"
qr24KgWcZGUhKZIPyVMsNw,Maz Mezcal,328,3.5,316 E 86th St,10028,"(40.77741, -73.95103)"
foAYWheDCF9wUyKPuOGYow,Mole,342,3.0,1735 2nd Ave,10128,"(40.780331, -73.950302)"
rbAxZRKdMoMxeonDTmooFg,El Vez,580,3.5,259 Vesey St,10282,"(40.7147356376792, -74.015635)"
i0CffTc5rmXjQOqq7g3I6Q,Gabriela's Restaurant & Tequila Bar,500,3.0,688 Columbus Ave,10025,"(40.7912178, -73.9689331)"
5SOM3bh1R5K3RZ9E20TxUg,Alma Restaurant,458,3.5,187 Columbia St,11231,"(40.68557, -74.00215)"
bHJWjEg_sGjrlSHIOX6Mqg,Two Lizards Mexican Bar & Grill,430,3.5,1365 1st Ave,10021,"(40.768857, -73.955524)"
J_9-q-WFMWg5swNVzzZ_XA,Lupe's,359,3.5,110 Ave Of The Americas,10013,"(40.72369, -74.0045776)"
e7krRmyE5upHv2gsEOdR8w,Mayahuel Mariposa,591,4.0,304 E 6th St,10003,"(40.72711, -73.98817)"
R5jpETY0OshPn-AeJjs0fA,Dos Caminos,1000,3.5,475 W Broadway,10012,"(40.726739, -73.999913)"
2IrwjU67gguqLqQqZ1nFPg,Guadalupe Restaurant,595,4.0,597 W 207th St,10034,"(40.86739, -73.92083)"
-zZXaitTEIWFgGa21y0nbQ,El Cacto,43,4.0,54 E 13th St,10003,"(40.73417, -73.99165)"
tKpTRuNe7JJD6IYFPVCXNg,Mariachi's,208,3.5,156 Chambers St,10007,"(40.715751, -74.010219)"
cy0vBvZu2Eb4XtRFCp8Seg,Conmigo,153,4.0,1685 1st Ave,10128,"(40.77793, -73.94902)"
CfOBb6NU2awo8xclJpKU3g,Chela Modern Mexican,255,4.5,408 5th Ave,11215,"(40.67032, -73.98569)"
