id,cuisine,review_count,rate,recommended
ojeMH0rbOOMx9ajChbVkJQ,mexican,394,3.5,
YsDmYRzJo3kiwZvIe1r0Fg,mexican,622,3.5,
hKkPlYmHoS9Nb_UbGGqx8A,mexican,265,4.0,
tbyq3mdNFQrZPIuRmO0bQw,mexican,1,4.0,
1m6viubAWUgsTgguIrJT6A,mexican,865,3.5,
bbb6QZReetkrrubqGWJokQ,mexican,464,3.5,
tCuPhpmf1PaYe5dmwdq8Ew,mexican,109,4.0,
WqjqHMozyW42XLTtLnKGag,mexican,699,4.5,
oB-4zuwbICQ0BvuS5D5Mtg,mexican,1,5.0,
Ahx8GsuAGUl8TgqCWP7uXw,mexican,210,3.5,
VIIfYEzIppjps0K_J_8zLg,mexican,584,3.5,
ir1jLDagZiMaHo7My4oUDg,mexican,329,3.5,
ifGXrRqs-zp6ek7LsoozrQ,mexican,691,4.0,
jYAqup9AF9N9wYAWYanZ-A,mexican,834,3.5,
zxdsVR_hHUzhBFfus4yd7A,mexican,952,3.0,
mdNall-R8nQb6gYLxWlJMg,mexican,148,3.5,
SCQvI5pAJmD-OMm37kkS6Q,mexican,587,4.0,
AABqAsYdRI9gSyU1gStdxg,mexican,131,3.0,
VVe74-TKuROBvyS1XgVmvw,mexican,338,5.0,
u1KX3yw6L7pg1rbFl_Sx3Q,mexican,127,3.5,
ZIfh0Vv86ktGZDdM3YME-w,mexican,238,3.5,
E_oFzRY-7j9T04qHkORCsw,mexican,156,3.5,
mhrLDFTxUzW2koRAzjlt5g,mexican,974,4.0,
h8J10FpJGaU_4OvP2MgoKQ,mexican,239,4.0,
EHUNrnIgnhwTnpOm3gEESg,mexican,606,3.5,
4sHkiQ0qURBjL_gVLQbGPw,mexican,169,3.5,
X2C0_I0seTtjW9uL8e8FBw,mexican,309,4.5,
SNNDz7nTCL1lf9yEY5DaBA,mexican,19,3.5,
FavssEgZjXFi2unEXePkVQ,mexican,312,3.5,
f7g3GhoQs9nQVTJEL2p48Q,mexican,438,3.5,
1UqrqRx_35w87pQeg17Gqg,mexican,375,3.5,
J9pgjC191T-odCmTAG-grQ,mexican,300,4.0,
d7YbQzGlmawMGAzUHzZvuw,mexican,1040,3.5,
L1-qxIGlGqad0mLWhW1PUg,mexican,33,4.5,
UBqLK5kg0kT72CIaBYa5Zg,mexican,397,3.0,
QwL5LS436Xjo9MHFi2rc-g,mexican,1204,3.5,
TJCyocLYrUBfbf8r0DaBXw,mexican,190,4.0,
AnAZaBsEuBjYvzaPMTN0oQ,mexican,159,4.0,
2hmhZim4bX2lbjPSNc7LaA,mexican,420,3.5,
FeSZi6LBCcAIipoSua6dXg,mexican,112,3.5,
DY2wlHlgC5eHITs-d5rT4w,mexican,57,4.5,
skN-mgnOezFQr9YNh5G5TQ,mexican,79,4.0,
xN4yKQMzo3PIoQlFamUOLQ,mexican,161,3.5,
9OUXhF3r1CVF8jahUanMbg,mexican,349,3.0,
L5eqJRy8Yx_4El6rUxWmBw,mexican,105,4.0,
5LO5C4doYF_UP2OB29zYMg,mexican,658,3.5,
g2uaHoIX1e1Y2E63t6DLrg,mexican,278,3.5,
98Bm2w9RzNJQZo4U3jSgQQ,mexican,84,4.0,
NXjCypQNl7tBrdR3gkFqdg,mexican,110,4.0,
WV4wYPAGb3W69MfBqIZDHg,mexican,54,4.0,
rPTtQ-FO_F9tMJDl3m50Bg,mexican,291,3.0,
phfxciZ6-Hch_HbW_tvm_A,mexican,288,4.0,
ddFY9PpygYagv7-jVduB2Q,mexican,44,4.5,
anBWvFPOce4nl3qLX-H6Rg,mexican,56,4.5,
FXgSgiLg6xgOO8zrG51mzg,mexican,121,4.0,
lC3C3OSklhJQhHVOqRkoMQ,mexican,62,4.0,
La78lTOdzTrdFYTGXUp7og,mexican,361,3.5,
hlc6c-3N_rOvO_XwOGEYRw,mexican,158,3.0,
CNbY3C2vZ2ZYNunXq-EmNQ,mexican,20,4.0,
iUOijKvgnv_4Iu758CqlOg,mexican,477,3.5,
q2D80--iDkSwf_OKsS-jdA,mexican,661,4.0,
XYyIWs-3J4bZRZDfcsMquQ,mexican,249,3.5,
v8tuFxvNkKdZytWTn9BhMA,mexican,308,3.5,
zNcDCPiUsE5aT6jyaCVtmA,mexican,164,4.5,
vN1CYP0WNSPfdmZAstfdOg,mexican,163,3.5,
q1ha1qnViHKmh3-tEGw8DA,mexican,35,4.0,
dgaNriM1VdI2nGochhHE_g,mexican,1037,4.0,
hhXM-_vvNm7EPiegxiQeCQ,mexican,9,5.0,
2kPGo5wA33eBJj-OzA96tQ,mexican,123,4.0,
-Qn5nXGhxWHNePA0dYmPSg,mexican,88,4.0,
gKJ-rb2di7fPGIuIjF0ylw,mexican,79,4.0,
LyCE268_fz_MAZieFZY1lA,mexican,524,3.0,
JywbRdA7yskb-06WbjUjKw,mexican,244,3.5,
PWFK0nvJ23Xkk_B4C5Q4Aw,mexican,71,4.5,
n-Z4HSwVeiDyA7AotduUNw,mexican,119,3.5,
h5VLolcEpu3ZUnDdjfhjSg,mexican,401,3.0,
t86q8MbsrW8pB8bmfwPWTw,mexican,429,3.5,
JzUg9hbxpAbyvs0JzbFruA,mexican,246,3.0,
AgAkUVLN_axMY-bzbNCfCw,mexican,1687,4.0,
OsnvNfvVnpjnFklon1s-vg,mexican,127,4.0,
k3iUNUGsl-xpQ_EsOfTadA,mexican,373,4.0,
DGloxcTvrqGLlSghSWtAlA,mexican,77,4.0,
hrswGldQVdR9OJRtqp0TxA,mexican,430,3.5,
frWu5KfSULdCHd0GmA-ytw,mexican,662,3.5,
4zBGXDXg9DzK0IROwCUeFg,mexican,546,4.0,
YKAwpTnKO-n5vB9-pqaCLQ,mexican,480,3.5,
WE064Ln20S4MQVT1hETCCw,mexican,224,3.5,
MxrjY6myVl8vK0YvCT4r4g,mexican,56,4.0,
_5BoZ_C5zEl5M_MxT1W39w,mexican,384,3.5,
qZfJbJPxZUkC66lRldcbGA,mexican,247,3.5,
sshS0FJ6tKkmLCcEKXyVkA,mexican,20,4.5,
GeL6wGdzhdEhuIFQau3ocQ,mexican,229,3.5,
AUyKmFjpaVLwc3awfUnqgQ,mexican,334,4.5,
o-KRgyTJoM4EM-K-rwe86w,mexican,593,3.5,
NKDLr_aBy5WRX8-JR_SGyQ,mexican,154,4.0,
8_NilECM6qg_L7WYb25uNw,mexican,32,4.0,
x9wa2M7gvf32swUSBP3uXA,mexican,743,3.5,
lL5DgsvOuiI8nMQcjK1bMA,mexican,22,4.0,
RyEd54MOTc5OcYtOiDt11g,mexican,788,3.0,
uVfOB37NyYEGRs5FITM-nQ,mexican,183,4.0,
trOfIBnEr_CxZuLRyGj9FQ,mexican,667,4.0,
6AJwsgXr7YwsqneGVAdgzw,mexican,237,4.0,
POGfmcCkuLpkP_Vz98DuwQ,mexican,729,2.5,
7I-4qCgJq3n0yan1ChE-ew,mexican,389,3.5,
5Ota_iMwlPLPrap-KfQrgw,mexican,724,3.5,
bCCW3DOK5vDR6x4qb2YzFw,mexican,383,3.5,
0oRYwB_SLqjHptvUQwwe2w,mexican,211,3.5,
qosp2vDDXks8eMGH7p4WSQ,mexican,813,4.0,
Nnuz_Ic0IdWOUbl64r4Hkg,mexican,756,4.0,
hmx8vUMYJPTbfgN8c7A5LA,mexican,287,4.0,
B-bx4pZXrat0D25vde2bJQ,mexican,186,3.5,
HKBJGt04_ZSdiIWA_6J8kQ,mexican,637,3.5,
mmAlHhnTDXIohPC3wfl0hQ,mexican,726,4.0,
8p1HTzXEcC3TCbLz59xMng,mexican,157,4.0,
yKPRuBvD3ScCc18QrZ4Y6w,mexican,159,3.5,
LDLb6b0VGG4ATeNxUlchew,mexican,1,4.0,
QdIeRttev3jQ0fOZBgiuzQ,mexican,12,5.0,
V7_IQ1ab69JilAlgrSnMXg,mexican,249,3.5,
KzJYO3-2k9XJhOHVpXayZQ,mexican,234,3.5,
_Pz5L7DGORcaThGB4CWcfg,mexican,47,4.5,
jFYEsw6_4y4VMpSVB863sw,mexican,667,3.5,
YYB2lPax5wAdeNWUcm5WAg,mexican,151,4.0,
4bSYj9nl_mAXIqpA2loIag,mexican,75,3.5,
_PWUuHHqyfJBrTROPR72Fw,mexican,326,4.0,
0X0cXXEyFa50ptzNpAZNyA,mexican,126,4.0,
XI8c4klXYX0b3MV8n8Kteg,mexican,34,4.5,
HwDu45zV90Wmprn6sPttCQ,mexican,238,3.0,
r5NT8-nV4py2c-mppTKucQ,mexican,241,4.0,
Xu8H24NxJJxEE-9wGp_AMA,mexican,292,4.5,
zb45GcwBARV0DndrwAr-9A,mexican,266,4.0,
kwknIGiHza2sjdt-bwPGwQ,mexican,190,3.5,
iV4Qm5DnGChgrnbYG20ASw,mexican,310,2.5,
MfbVI5reXLIIs8Cc2HwgQw,mexican,1498,4.5,
_8Oq6MmhqLgzQDVYXWLxuA,mexican,659,4.0,
1m6pfntylp2UL67hRPCbiw,mexican,60,4.5,
7xW-mmylJCNQgYw88Ur89Q,mexican,212,3.5,
bly3jHNlMEiNCDTYB-qbrQ,mexican,76,4.0,
0o0s6bUIuy0LTGNR3xYzzw,mexican,348,3.5,
H08vCdbcP3oy0cBEKqM5KQ,mexican,70,4.0,
UmY9dyGOclJ0tGbn1IozlA,mexican,294,4.0,
XKtxfym5V7XWYk5AFgjx_Q,mexican,2,5.0,
evJqF34WN9Bz73j99vDTCQ,mexican,191,4.0,
